REF_DATE,GEO,DGUID,Components of population growth,Sex,Age group,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2021/2022,"Kings, Prince Edward Island",2016A00031101,Returning emigrants,Both sexes,All ages,Persons,249,units,0,v1059862887,14.5.1.1,14,,,,0
2021/2022,"Kings, Prince Edward Island",2016A00031101,Net temporary emigration,Both sexes,All ages,Persons,249,units,0,v1059863220,14.6.1.1,6,,,,0
2021/2022,"Kings, Prince Edward Island",2016A00031101,Net interprovincial migration,Both sexes,All ages,Persons,249,units,0,v1059863553,14.7.1.1,346,,,,0
2021/2022,"Kings, Prince Edward Island",2016A00031101,Net intraprovincial migration,Both sexes,All ages,Persons,249,units,0,v1059863886,14.8.1.1,27,,,,0
2021/2022,"Kings, Prince Edward Island",2016A00031101,Net non-permanent residents,Both sexes,All ages,Persons,249,units,0,v1059864219,14.9.1.1,188,,,,0
2021/2022,"Queens, Prince Edward Island",2016A00031102,Births,Both sexes,All ages,Persons,249,units,0,v1059864885,15.1.1.1,901,,,,0
2021/2022,"Queens, Prince Edward Island",2016A00031102,Deaths,Both sexes,All ages,Persons,249,units,0,v1059864891,15.2.1.1,773,,,,0
2021/2022,"Queens, Prince Edward Island",2016A00031102,Immigrants,Both sexes,All ages,Persons,249,units,0,v1059865224,15.3.1.1,2530,,,,0
2021/2022,"Queens, Prince Edward Island",2016A00031102,Emigrants,Both sexes,All ages,Persons,249,units,0,v1059865557,15.4.1.1,73,,,,0
2021/2022,"Queens, Prince Edward Island",2016A00031102,Returning emigrants,Both sexes,All ages,Persons,249,units,0,v1059865890,15.5.1.1,75,,,,0
2021/2022,"Queens, Prince Edward Island",2016A00031102,Net temporary emigration,Both sexes,All ages,Persons,249,units,0,v1059866223,15.6.1.1,32,,,,0
2021/2022,"Queens, Prince Edward Island",2016A00031102,Net interprovincial migration,Both sexes,All ages,Persons,249,units,0,v1059866556,15.7.1.1,1115,,,,0
2021/2022,"Queens, Prince Edward Island",2016A00031102,Net intraprovincial migration,Both sexes,All ages,Persons,249,units,0,v1059866889,15.8.1.1,135,,,,0
2021/2022,"Queens, Prince Edward Island",2016A00031102,Net non-permanent residents,Both sexes,All ages,Persons,249,units,0,v1059867222,15.9.1.1,189,,,,0
2021/2022,"Prince, Prince Edward Island",2016A00031103,Births,Both sexes,All ages,Persons,249,units,0,v1059867888,16.1.1.1,434,,,,0
2021/2022,"Prince, Prince Edward Island",2016A00031103,Deaths,Both sexes,All ages,Persons,249,units,0,v1059867894,16.2.1.1,485,,,,0
2021/2022,"Prince, Prince Edward Island",2016A00031103,Immigrants,Both sexes,All ages,Persons,249,units,0,v1059868227,16.3.1.1,795,,,,0
2021/2022,"Prince, Prince Edward Island",2016A00031103,Emigrants,Both sexes,All ages,Persons,249,units,0,v1059868560,16.4.1.1,17,,,,0
2021/2022,"Prince, Prince Edward Island",2016A00031103,Returning emigrants,Both sexes,All ages,Persons,249,units,0,v1059868893,16.5.1.1,9,,,,0
2021/2022,"Prince, Prince Edward Island",2016A00031103,Net temporary emigration,Both sexes,All ages,Persons,249,units,0,v1059869226,16.6.1.1,7,,,,0
2021/2022,"Prince, Prince Edward Island",2016A00031103,Net interprovincial migration,Both sexes,All ages,Persons,249,units,0,v1059869559,16.7.1.1,799,,,,0
2021/2022,"Prince, Prince Edward Island",2016A00031103,Net intraprovincial migration,Both sexes,All ages,Persons,249,units,0,v1059869892,16.8.1.1,-162,,,,0
2021/2022,"Prince, Prince Edward Island",2016A00031103,Net non-permanent residents,Both sexes,All ages,Persons,249,units,0,v1059870225,16.9.1.1,-150,,,,0
2021/2022,Nova Scotia,2016A000212,Births,Both sexes,All ages,Persons,249,units,0,v1059870891,17.1.1.1,7990,,,,0
2021/2022,Nova Scotia,2016A000212,Deaths,Both sexes,All ages,Persons,249,units,0,v1059870897,17.2.1.1,10780,,,,0
2021/2022,Nova Scotia,2016A000212,Immigrants,Both sexes,All ages,Persons,249,units,0,v1059871230,17.3.1.1,13816,,,,0
2021/2022,Nova Scotia,2016A000212,Emigrants,Both sexes,All ages,Persons,249,units,0,v1059871563,17.4.1.1,555,,,,0
2021/2022,Nova Scotia,2016A000212,Returning emigrants,Both sexes,All ages,Persons,249,units,0,v1059871896,17.5.1.1,530,,,,0
2021/2022,Nova Scotia,2016A000212,Net temporary emigration,Both sexes,All ages,Persons,249,units,0,v1059872229,17.6.1.1,288,,,,0
2021/2022,Nova Scotia,2016A000212,Net interprovincial migration,Both sexes,All ages,Persons,249,units,0,v1059872562,17.7.1.1,14079,,,,0
2021/2022,Nova Scotia,2016A000212,Net intraprovincial migration,Both sexes,All ages,Persons,249,units,0,v1059872895,17.8.1.1,0,,,,0
2021/2022,Nova Scotia,2016A000212,Net non-permanent residents,Both sexes,All ages,Persons,249,units,0,v1059873228,17.9.1.1,3816,,,,0
2021/2022,"Shelburne, Nova Scotia",2016A00031201,Births,Both sexes,All ages,Persons,249,units,0,v1059873894,18.1.1.1,112,,,,0
2021/2022,"Shelburne, Nova Scotia",2016A00031201,Deaths,Both sexes,All ages,Persons,249,units,0,v1059873900,18.2.1.1,205,,,,0
2021/2022,"Shelburne, Nova Scotia",2016A00031201,Immigrants,Both sexes,All ages,Persons,249,units,0,v1059874233,18.3.1.1,34,,,,0
2021/2022,"Shelburne, Nova Scotia",2016A00031201,Emigrants,Both sexes,All ages,Persons,249,units,0,v1059874566,18.4.1.1,0,,,,0
2021/2022,"Shelburne, Nova Scotia",2016A00031201,Returning emigrants,Both sexes,All ages,Persons,249,units,0,v1059874899,18.5.1.1,3,,,,0
2021/2022,"Shelburne, Nova Scotia",2016A00031201,Net temporary emigration,Both sexes,All ages,Persons,249,units,0,v1059875232,18.6.1.1,0,,,,0
2021/2022,"Shelburne, Nova Scotia",2016A00031201,Net interprovincial migration,Both sexes,All ages,Persons,249,units,0,v1059875565,18.7.1.1,234,,,,0
